metodo;sampling;eta;max_depth;gamma;colsample_bytree;min_child_weight;subsample;nrounds;MCC;logLoss;AUC;prAUC;Accuracy;Kappa;F1;Sensitivity;Specificity;Pos_Pred_Value;Neg_Pred_Value;Precision;Recall;Detection_Rate;Balanced_Accuracy
xgbTree;rose;0,4;2;0;0,8;1;1,00;50;0,19861778868006383;0,378528610077094;0,721120352938920;0,600122863319112;0,848886625265998;0,195218857935430895;0,915546921542547;0,929877236015025;0,246008244906597506;0,901813726515519;0,324096136684382;0,901813726515519;0,929877236015025;0,819750151936780;0,587942740460811
xgbTree;rose;0,3;3;0;0,6;1;0,50;50;0,16510189811669759;0,353965886029166;0,723282310962715;0,604435181875553;0,869500624720905;0,143591967580572882;0,928954466484884;0,967918405311152;0,136913405965962187;0,893026711768067;0,368329769706181;0,893026711768067;0,967918405311152;0,853285574462790;0,552415905638557
xgbTree;rose;0,3;3;0;0,6;1;0,75;50;0,18161730629389158;0,360999959318958;0,722755340546561;0,604466737194406;0,865201735681802;0,167644150478605924;0,926114237091347;0,958393916776254;0,171513194777475314;0,895950395479855;0,358383209716848;0,895950395479855;0,958393916776254;0,844889054145261;0,564953555776865
xgbTree;rose;0,3;3;0;0,6;1;1,00;50;0,18789331864934269;0,363039397162493;0,723816468670823;0,604223837347000;0,863391414356809;0,175402662404279014;0,924893747466199;0,954515149286280;0,185094325604014842;0,897130921704161;0,358015523067444;0,897130921704161;0,954515149286280;0,841469748245484;0,569804737445147
xgbTree;rose;0,3;3;0;0,8;1;0,50;50;0,16455843224280842;0,355809703510444;0,723092348000806;0,604958575591134;0,868469974993993;0,145462423112634937;0,928321756396360;0,966179063518478;0,141159915614664316;0,893324521655925;0,359247792200352;0,893324521655925;0,966179063518478;0,851752203768835;0,553669489566571
xgbTree;rose;0,3;3;0;0,8;1;0,75;50;0,17512727312548385;0,364765659994501;0,723825394383468;0,603401995345997;0,861682116909460;0,164024421949275329;0,923988825498279;0,953773965991140;0,176179604775831750;0,896030466031294;0,340590267373133;0,896030466031294;0,953773965991140;0,840816346226653;0,564976785383486
xgbTree;rose;0,3;3;0;0,8;1;1,00;50;0,18613178535786004;0,364831091426007;0,722984115790660;0,603694183436978;0,860022666250053;0,176446363022113389;0,922794454414826;0,949410616342431;0,194651167503090139;0,897728216975003;0,344599277520752;0,897728216975003;0,949410616342431;0,836969626746024;0,572030891922760
xgbTree;rose;0,4;3;0;0,6;1;0,50;50;0,11049435977080480;0,338693998209425;0,723672585500142;0,602613521066482;0,876288356395975;0,075449476020051517;0,933532481220637;0,985513387882726;0,063250501516369351;0,886772962202369;0,368087450118233;0,886772962202369;0,985513387882726;0,868796857674171;0,524381944699548
xgbTree;rose;0,4;3;0;0,6;1;0,75;50;0,13519840423000540;0,342993771623840;0,724587474599663;0,605088442458271;0,876263117031165;0,098518190411112760;0,933363202669618;0,983003893010459;0,081721388800706063;0,888495960612039;0,394098788129603;0,888495960612039;0,983003893010459;0,866584450607609;0,532362640905583
xgbTree;rose;0,4;3;0;0,6;1;1,00;50;0,14324383827125306;0,345653400112294;0,724240479574780;0,604222324313723;0,873799798131857;0,114226402704027535;0,931755178737559;0,977414932413391;0,102512647668708753;0,890235984012130;0,374977679588500;0,890235984012130;0,977414932413391;0,861657705373380;0,539963790041050
xgbTree;rose;0,4;3;0;0,8;1;0,50;50;0,10030364121792530;0,337314726109954;0,724237284074698;0,603462088527824;0,877796825818747;0,063493428871353980;0,934478871250626;0,988678856257459;0,052418648528772739;0,885958332677350;0,386865242714533;0,885958332677350;0,988678856257459;0,871587571129022;0,520548752393116
xgbTree;rose;0,4;3;0;0,8;1;0,75;50;0,12386446364805793;0,343845251320415;0,725045493417050;0,604286659742274;0,876238139913827;0,086921261764641738;0,933411530755610;0,984116174162034;0,073228144355661218;0,887714475874635;0,390928637220028;0,887714475874635;0,984116174162034;0,867565101866978;0,528672159258848
xgbTree;rose;0,4;3;0;0,8;1;1,00;50;0,16040851533446668;0,351149242985260;0,724563450996017;0,604014973897571;0,869551296188639;0,138131874539799721;0,929007512036232;0,968517598036089;0,132867502865003734;0,892672854306680;0,365916219873693;0,892672854306680;0,968517598036089;0,853814188842430;0,550692550450546
