result_date;testes;positivos;pos_diaria;pos_acumulada
2020-08-23;130;12;0.09230769230769231;0.16525154457193292
2020-08-24;3577;555;0.15515795359239587;0.1649426319977412
2020-08-25;4909;904;0.18415155836219188;0.16571691327410376
2020-08-26;3070;307;0.1;0.16410104440315243
2020-08-27;4841;792;0.16360256145424498;0.16408243829849573
2020-08-28;3338;362;0.10844817255841821;0.1626865110685158
2020-08-29;275;25;0.09090909090909091;0.16253844422773986
2020-08-30;90;14;0.15555555555555556;0.16253373313343328
2020-08-31;1829;254;0.1388737014762165;0.1622137263456803
2020-09-01;3710;823;0.22183288409703503;0.1638056989038355
2020-09-02;2444;358;0.14648117839607203;0.16350622069131365
2020-09-03;2511;312;0.12425328554360812;0.1628212434152918
2020-09-04;2889;486;0.16822429906542055;0.1629275869821437
2020-09-05;98;21;0.21428571428571427;0.16296185347321981
2020-09-06;150;4;0.02666666666666667;0.16282280607490937
2020-09-07;89;12;0.1348314606741573;0.16280587275693312
2020-09-08;2482;540;0.21756647864625303;0.16371438884506892
2020-09-09;2348;414;0.17632027257240204;0.1639091806515301
2020-09-10;1938;303;0.1563467492260062;0.16381394260761073
2020-09-11;1970;281;0.14263959390862943;0.16354630496990852
2020-09-12;316;34;0.10759493670886076;0.16343309385685198
2020-09-13;180;18;0.1;0.163360067539046
2020-09-14;1555;336;0.21607717041800642;0.1638791962459391
2020-09-15;2966;637;0.21476736345246122;0.1648174048174048
2020-09-16;2554;479;0.187548942834769;0.16517264377803206
2020-09-17;2768;529;0.19111271676300579;0.16560467397125098
2020-09-18;2350;424;0.1804255319148936;0.1658113167247118
2020-09-19;264;40;0.15151515151515152;0.16578895925028583
2020-09-20;154;16;0.1038961038961039;0.16573254816086172
2020-09-21;2680;764;0.28507462686567164;0.16759591016341868
2020-09-22;2453;472;0.1924174480228292;0.16794563981205987
2020-09-23;1841;398;0.21618685497012494;0.1684504288418145
2020-09-24;1407;273;0.19402985074626866;0.1686533668647728
2020-09-25;1315;320;0.24334600760456274;0.1692031277111401
2020-09-26;260;12;0.046153846153846156;0.1690243179950928
2020-09-27;191;21;0.1099476439790576;0.16896132029121444
2020-09-28;1769;405;0.22894290559638214;0.16954793483008165
2020-09-29;901;215;0.2386237513873474;0.16989030817132608
2020-09-30;1157;189;0.1633535004321521;0.1698489660487922
2020-10-01;1398;236;0.1688125894134478;0.16984110623477652
2020-10-02;1170;190;0.1623931623931624;0.16979413175783123
2020-10-03;258;49;0.18992248062015504;0.16982208704546067
2020-10-04;79;14;0.17721518987341772;0.1698252297625966
2020-10-05;1427;295;0.20672740014015417;0.17010642331167133
2020-10-06;1272;269;0.21147798742138366;0.1703855353951088
2020-10-07;1269;250;0.19700551615445233;0.1705635049417318
2020-10-08;1113;207;0.18598382749326145;0.1706533979311248
2020-10-09;7865;1922;0.24437380801017164;0.1735700990995523
2020-10-10;260;41;0.1576923076923077;0.17354935945742275
2020-10-11;146;19;0.13013698630136986;0.1735175405128617
2020-10-12;143;33;0.23076923076923078;0.1735586112100492
2020-10-13;918;240;0.26143790849673204;0.173961459524511
2020-10-14;1150;273;0.2373913043478261;0.1743236332401555
2020-10-15;1028;214;0.20817120622568094;0.1744955170795564
2020-10-16;1150;215;0.18695652173913044;0.1745659061325736
2020-10-17;320;44;0.1375;0.17450773644589393
2020-10-18;173;22;0.12716763005780346;0.1744676055233783
2020-10-19;3022;799;0.2643944407677035;0.17577981651376146
2020-10-20;872;149;0.17087155963302753;0.1757592368203412
2020-10-21;500;82;0.164;0.1757310334241529
2020-10-22;436;84;0.1926605504587156;0.17576636605587148
